Trial	audCue	audCueOnset	spaCueOnset	targOnset	targX	location	sacctype	dir	message	MRT	SRTFix	SRTSacc	numSaccades
1	1	0.263922	0.400000	0.450000	652.000000	right	saccade	left	GoodTrial	0.000000	0.000000	0.000000	0
2	1	0.119236	0.400000	0.450000	1268.000000	right	antisaccade	right	Fix_Error	0.000000	0.000000	0.000000	0
3	0	0.125603	0.400000	0.450000	1268.000000	centre	saccade	right	GoodTrial	0.000000	0.000000	0.733634	0
4	0	0.335413	0.400000	0.450000	1268.000000	centre	saccade	right	GoodTrial	0.000000	0.000000	0.838429	0
5	0	0.247489	0.400000	0.450000	652.000000	centre	saccade	left	GoodTrial	0.000000	0.000000	0.554172	0
6	0	0.249935	0.400000	0.450000	1268.000000	right	antisaccade	right	GoodTrial	0.000000	0.000000	0.807176	0
7	0	0.272899	0.400000	0.450000	1268.000000	left	saccade	right	GoodTrial	0.000000	0.000000	0.519164	0
8	0	0.573763	0.400000	0.450000	652.000000	right	saccade	left	GoodTrial	0.000000	0.000000	0.346815	0
9	0	0.553045	0.400000	0.450000	1268.000000	left	antisaccade	right	GoodTrial	0.000000	0.000000	0.000000	0
10	1	0.497573	0.400000	0.450000	652.000000	right	saccade	left	GoodTrial	0.000000	0.000000	0.527614	0
11	0	0.525862	0.400000	0.450000	1268.000000	right	antisaccade	right	GoodTrial	0.000000	0.000000	0.532729	0
12	1	0.376872	0.400000	0.450000	652.000000	right	saccade	left	GoodTrial	0.000000	0.000000	0.413532	0
13	0	0.519860	0.400000	0.450000	652.000000	centre	saccade	left	GoodTrial	0.000000	0.000000	1.015532	0
14	0	0.128273	0.400000	0.450000	1268.000000	centre	saccade	right	GoodTrial	0.000000	0.000000	0.776009	0
15	1	0.134683	0.400000	0.450000	652.000000	centre	antisaccade	left	GoodTrial	0.000000	0.000000	0.431058	0
16	1	0.266454	0.400000	0.450000	1268.000000	right	antisaccade	right	GoodTrial	0.000000	0.000000	0.835003	0
17	1	0.481974	0.400000	0.450000	652.000000	left	antisaccade	left	GoodTrial	0.000000	0.000000	0.700580	0
18	0	0.412506	0.400000	0.450000	1268.000000	right	saccade	right	GoodTrial	0.000000	0.000000	0.669080	0
19	0	0.548603	0.400000	0.450000	652.000000	centre	antisaccade	left	GoodTrial	0.000000	0.000000	0.514771	0
20	1	0.188451	0.400000	0.450000	652.000000	left	saccade	left	GoodTrial	0.000000	0.000000	0.558223	0
21	1	0.266011	0.400000	0.450000	1268.000000	left	antisaccade	right	GoodTrial	0.000000	0.000000	0.736352	0
22	1	0.391696	0.400000	0.450000	652.000000	left	saccade	left	GoodTrial	0.000000	0.000000	0.430316	0
23	0	0.350320	0.400000	0.450000	1268.000000	right	saccade	right	GoodTrial	0.000000	0.000000	0.501283	0
24	0	0.127164	0.400000	0.450000	1268.000000	centre	antisaccade	right	GoodTrial	0.000000	0.000000	0.837140	0
25	0	0.173086	0.400000	0.450000	1268.000000	centre	saccade	right	GoodTrial	0.000000	0.000000	0.567254	0
26	1	0.104758	0.400000	0.450000	1268.000000	left	antisaccade	right	GoodTrial	0.000000	0.000000	0.908378	0
27	0	0.321172	0.400000	0.450000	652.000000	centre	saccade	left	GoodTrial	0.000000	0.000000	0.749004	0
28	0	0.403926	0.400000	0.450000	1268.000000	centre	antisaccade	right	GoodTrial	0.000000	0.000000	0.571144	0
29	0	0.222371	0.400000	0.450000	1268.000000	right	antisaccade	right	GoodTrial	0.000000	0.000000	0.697729	0
30	1	0.438404	0.400000	0.450000	652.000000	right	saccade	left	GoodTrial	0.000000	0.000000	1.276019	0
31	1	0.512407	0.400000	0.450000	1268.000000	left	antisaccade	right	GoodTrial	0.000000	0.000000	0.543745	0
32	1	0.553603	0.400000	0.450000	652.000000	right	antisaccade	left	GoodTrial	0.000000	0.000000	0.000000	0
33	1	0.548873	0.400000	0.450000	652.000000	centre	antisaccade	left	GoodTrial	0.000000	0.000000	0.531656	0
34	0	0.274207	0.400000	0.450000	1268.000000	right	saccade	right	GoodTrial	0.000000	0.000000	0.543742	0
35	1	0.400123	0.400000	0.450000	652.000000	centre	antisaccade	left	GoodTrial	0.000000	0.000000	0.000000	0
36	1	0.461011	0.400000	0.450000	1268.000000	centre	saccade	right	GoodTrial	0.000000	0.000000	0.927925	0
37	1	0.434896	0.400000	0.450000	1268.000000	left	antisaccade	right	GoodTrial	0.000000	0.000000	0.000000	0
38	1	0.322992	0.400000	0.450000	652.000000	right	antisaccade	left	GoodTrial	0.000000	0.000000	0.728064	0
39	0	0.187686	0.400000	0.450000	1268.000000	right	saccade	right	GoodTrial	0.000000	0.000000	0.532801	0
40	1	0.221235	0.400000	0.450000	652.000000	left	antisaccade	left	GoodTrial	0.000000	0.000000	0.709365	0
41	1	0.102298	0.400000	0.450000	652.000000	left	saccade	left	GoodTrial	0.000000	0.000000	0.608378	0
42	0	0.466600	0.400000	0.450000	1268.000000	right	saccade	right	GoodTrial	0.000000	0.000000	0.498178	0
43	0	0.271567	0.400000	0.450000	652.000000	right	antisaccade	left	GoodTrial	0.000000	0.000000	0.900649	0
44	1	0.294133	0.400000	0.450000	652.000000	left	antisaccade	left	GoodTrial	0.000000	0.000000	0.680151	0
45	1	0.117925	0.400000	0.450000	1268.000000	right	antisaccade	right	GoodTrial	0.000000	0.000000	0.570766	0
46	1	0.125790	0.400000	0.450000	1268.000000	right	saccade	right	GoodTrial	0.000000	0.000000	0.512886	0
47	1	0.460359	0.400000	0.450000	652.000000	left	antisaccade	left	GoodTrial	0.000000	0.000000	0.510602	0
48	1	0.565252	0.400000	0.450000	1268.000000	centre	antisaccade	right	GoodTrial	0.000000	0.000000	0.701816	0
49	0	0.500482	0.400000	0.450000	1268.000000	left	saccade	right	GoodTrial	0.000000	0.000000	0.000000	0
50	1	0.308096	0.400000	0.450000	652.000000	centre	saccade	left	GoodTrial	0.000000	0.000000	0.549946	0
51	1	0.211457	0.400000	0.450000	1268.000000	right	saccade	right	GoodTrial	0.000000	0.000000	0.835799	0
52	0	0.141764	0.400000	0.450000	1268.000000	right	antisaccade	right	GoodTrial	0.000000	0.000000	0.628478	0
53	1	0.585973	0.400000	0.450000	1268.000000	right	saccade	right	Fix_Error	0.000000	0.000000	0.000000	0
54	0	0.526118	0.400000	0.450000	652.000000	centre	saccade	left	GoodTrial	0.000000	0.000000	1.204031	0
55	0	0.204296	0.400000	0.450000	652.000000	centre	antisaccade	left	GoodTrial	0.000000	0.000000	1.327367	0
56	1	0.313224	0.400000	0.450000	652.000000	right	antisaccade	left	GoodTrial	0.000000	0.000000	1.390379	0
57	0	0.111784	0.400000	0.450000	652.000000	right	saccade	left	GoodTrial	0.000000	0.000000	0.526528	0
58	0	0.583135	0.400000	0.450000	1268.000000	centre	antisaccade	right	GoodTrial	0.000000	0.000000	0.728284	0
59	1	0.401103	0.400000	0.450000	1268.000000	left	saccade	right	GoodTrial	0.000000	0.000000	0.752533	0
60	1	0.197873	0.400000	0.450000	652.000000	centre	saccade	left	GoodTrial	0.000000	0.000000	0.371449	0
61	1	0.286119	0.400000	0.450000	652.000000	right	saccade	left	GoodTrial	0.000000	0.000000	0.481390	0
62	0	0.327927	0.400000	0.450000	652.000000	centre	antisaccade	left	GoodTrial	0.000000	0.000000	0.921703	0
63	1	0.586483	0.400000	0.450000	652.000000	centre	saccade	left	GoodTrial	0.000000	0.000000	0.470927	0
64	1	0.565069	0.400000	0.450000	1268.000000	left	saccade	right	GoodTrial	0.000000	0.000000	0.985858	0
65	1	0.472549	0.400000	0.450000	1268.000000	centre	antisaccade	right	GoodTrial	0.000000	0.000000	1.506941	0
66	0	0.153356	0.400000	0.450000	652.000000	left	antisaccade	left	GoodTrial	0.000000	0.000000	0.595078	0
67	0	0.594442	0.400000	0.450000	652.000000	right	antisaccade	left	GoodTrial	0.000000	0.000000	0.000000	0
68	1	0.448061	0.400000	0.450000	1268.000000	left	antisaccade	right	GoodTrial	0.000000	0.000000	0.573410	0
69	1	0.122888	0.400000	0.450000	1268.000000	right	antisaccade	right	GoodTrial	0.000000	0.000000	0.593941	0
70	1	0.523286	0.400000	0.450000	652.000000	left	saccade	left	GoodTrial	0.000000	0.000000	1.001775	0
71	0	0.550074	0.400000	0.450000	1268.000000	centre	saccade	right	GoodTrial	0.000000	0.000000	0.481673	0
72	1	0.527472	0.400000	0.450000	1268.000000	right	antisaccade	right	GoodTrial	0.000000	0.000000	0.617742	0
73	1	0.125849	0.400000	0.450000	1268.000000	left	saccade	right	GoodTrial	0.000000	0.000000	0.631566	0
74	1	0.406491	0.400000	0.450000	1268.000000	centre	antisaccade	right	GoodTrial	0.000000	0.000000	1.180289	0
75	1	0.596585	0.400000	0.450000	1268.000000	left	antisaccade	right	Fix_Error	0.000000	0.000000	0.000000	0
76	0	0.359369	0.400000	0.450000	1268.000000	centre	antisaccade	right	GoodTrial	0.000000	0.000000	0.709367	0
77	1	0.111949	0.400000	0.450000	652.000000	right	antisaccade	left	GoodTrial	0.000000	0.000000	0.000000	0
78	1	0.513074	0.400000	0.450000	1268.000000	centre	antisaccade	right	GoodTrial	0.000000	0.000000	1.353771	0
79	1	0.516896	0.400000	0.450000	652.000000	right	antisaccade	left	GoodTrial	0.000000	0.000000	0.000000	0
80	0	0.328304	0.400000	0.450000	1268.000000	centre	saccade	right	GoodTrial	0.000000	0.000000	1.321417	0
